,,,,,,,,,
,,,,,,,,,
OrderID,StoreID,SupplierID,OrderDate,ExpectedDeliveryDate,TotalAmount,Status,ContactEmail,ContactPhone,ContactName
SP870487,128,7,17.07.2024,25.07.2024,32256,Pending,contact@silpo.ua,380181960013,Nadiia Mazur
SP831262,106,144,12.02.2024,01.03.2024,57987,Delivered,contact@silpo.ua,380940265423,Vadym Lysenko
SP307175,123,98,18.07.2023,30.07.2023,48082,Delivered,contact@silpo.ua,380078161849,Yevhen Havrylov
SP579201,247,50,23.05.2023,25.05.2023,32871,Shipped,contact@silpo.ua,380131647525,Oleksii Koval
SP902729,168,180,27.05.2023,16.06.2023,25431,Delivered,contact@silpo.ua,380327648350,Nadiia Havrylov
SP233659,180,103,02.07.2024,05.07.2024,30653,Cancelled,contact@silpo.ua,380953767242,Nadiia Bondarenko
SP788637,237,68,27.05.2025,15.06.2025,55350,Delivered,contact@silpo.ua,380287101226,Taras Tkachenko
SP603457,197,153,16.08.2025,02.09.2025,35953,Cancelled,contact@silpo.ua,380018451462,Denys Shevchenko
SP957168,284,68,22.10.2025,28.10.2025,69542,Cancelled,contact@silpo.ua,380489325288,Yevhen Shevchenko
SP828038,182,126,09.02.2023,13.02.2023,50576,Shipped,contact@silpo.ua,380430391171,Vadym Mazur
SP331869,132,169,31.08.2025,18.09.2025,24643,Delivered,contact@silpo.ua,380963834657,Yevhen Mazur
SP673417,130,64,05.04.2024,08.04.2024,47313,Pending,contact@silpo.ua,380839301031,Yevhen Shevchenko
SP546479,118,132,02.05.2024,11.05.2024,66624,Delivered,contact@silpo.ua,380299737631,Serhii Kovalchuk
SP651989,190,109,21.04.2025,06.05.2025,10100,Shipped,contact@silpo.ua,380106513338,Denys Bondar
SP642374,146,72,05.08.2025,13.08.2025,12880,Delivered,contact@silpo.ua,380810801326,Denys Havrylenko
SP424130,202,16,04.12.2023,17.12.2023,3282,Cancelled,contact@silpo.ua,380474687234,Nadiia Shevchenko
SP807314,288,139,05.05.2023,16.05.2023,10492,Pending,contact@silpo.ua,380788208121,Taras Tkachenko
SP908011,160,104,03.09.2023,22.09.2023,35271,Delivered,contact@silpo.ua,380091699854,Nadiia Kovalchuk
SP950981,180,62,27.06.2024,10.07.2024,20154,Shipped,contact@silpo.ua,380475107991,Serhii Mazur
SP423508,229,68,29.09.2023,11.10.2023,12016,Shipped,contact@silpo.ua,380542784980,Kateryna Havrylov
SP781542,176,170,01.08.2023,06.08.2023,37664,Pending,contact@silpo.ua,380182449353,Kateryna Kovalchuk
SP476807,229,126,29.05.2024,31.05.2024,15097,Delivered,contact@silpo.ua,380400524278,Anastasiia Petrenko
